West US 2 A DC1 -> [([[West US 2 A_gateway1, GigabitEthernet0/0/1], [West US 2 A_gateway2, GigabitEthernet0/0/1]], [10.0.0.0/16])]
Malaysia West C DC2 -> [([[Malaysia West C_gateway1, GigabitEthernet0/0/2], [Malaysia West C_gateway2, GigabitEthernet0/0/2]], [15.231.0.0/16])]
Malaysia West C DC3 -> [([[Malaysia West C_gateway1, GigabitEthernet0/0/3], [Malaysia West C_gateway2, GigabitEthernet0/0/3]], [15.232.0.0/16])]
Malaysia West C DC4 -> [([[Malaysia West C_gateway1, GigabitEthernet0/0/4], [Malaysia West C_gateway2, GigabitEthernet0/0/4]], [15.233.0.0/16])]
Malaysia West C DC5 -> [([[Malaysia West C_gateway1, GigabitEthernet0/0/5], [Malaysia West C_gateway2, GigabitEthernet0/0/5]], [15.234.0.0/16])]
Malaysia West D DC1 -> [([[Malaysia West D_gateway1, GigabitEthernet0/0/1], [Malaysia West D_gateway2, GigabitEthernet0/0/1]], [15.235.0.0/16])]
Malaysia West D DC2 -> [([[Malaysia West D_gateway1, GigabitEthernet0/0/2], [Malaysia West D_gateway2, GigabitEthernet0/0/2]], [15.236.0.0/16])]
Malaysia West D DC3 -> [([[Malaysia West D_gateway1, GigabitEthernet0/0/3], [Malaysia West D_gateway2, GigabitEthernet0/0/3]], [15.237.0.0/16])]
Malaysia West D DC4 -> [([[Malaysia West D_gateway1, GigabitEthernet0/0/4], [Malaysia West D_gateway2, GigabitEthernet0/0/4]], [15.238.0.0/16])]
Malaysia West D DC5 -> [([[Malaysia West D_gateway1, GigabitEthernet0/0/5], [Malaysia West D_gateway2, GigabitEthernet0/0/5]], [15.239.0.0/16])]
Malaysia West E DC1 -> [([[Malaysia West E_gateway1, GigabitEthernet0/0/1], [Malaysia West E_gateway2, GigabitEthernet0/0/1]], [15.240.0.0/16])]
Malaysia West E DC2 -> [([[Malaysia West E_gateway1, GigabitEthernet0/0/2], [Malaysia West E_gateway2, GigabitEthernet0/0/2]], [15.241.0.0/16])]
Malaysia West E DC3 -> [([[Malaysia West E_gateway1, GigabitEthernet0/0/3], [Malaysia West E_gateway2, GigabitEthernet0/0/3]], [15.242.0.0/16])]
Malaysia West E DC4 -> [([[Malaysia West E_gateway1, GigabitEthernet0/0/4], [Malaysia West E_gateway2, GigabitEthernet0/0/4]], [15.243.0.0/16])]
Malaysia West E DC5 -> [([[Malaysia West E_gateway1, GigabitEthernet0/0/5], [Malaysia West E_gateway2, GigabitEthernet0/0/5]], [15.244.0.0/16])]
Malaysia West F DC1 -> [([[Malaysia West F_gateway1, GigabitEthernet0/0/1], [Malaysia West F_gateway2, GigabitEthernet0/0/1]], [15.245.0.0/16])]
Malaysia West F DC2 -> [([[Malaysia West F_gateway1, GigabitEthernet0/0/2], [Malaysia West F_gateway2, GigabitEthernet0/0/2]], [15.246.0.0/16])]
Malaysia West F DC3 -> [([[Malaysia West F_gateway1, GigabitEthernet0/0/3], [Malaysia West F_gateway2, GigabitEthernet0/0/3]], [15.247.0.0/16])]
Malaysia West F DC4 -> [([[Malaysia West F_gateway1, GigabitEthernet0/0/4], [Malaysia West F_gateway2, GigabitEthernet0/0/4]], [15.248.0.0/16])]
Malaysia West F DC5 -> [([[Malaysia West F_gateway1, GigabitEthernet0/0/5], [Malaysia West F_gateway2, GigabitEthernet0/0/5]], [15.249.0.0/16])]
Indonesia Central A DC1 -> [([[Indonesia Central A_gateway1, GigabitEthernet0/0/1], [Indonesia Central A_gateway2, GigabitEthernet0/0/1]], [15.250.0.0/16])]
Indonesia Central A DC2 -> [([[Indonesia Central A_gateway1, GigabitEthernet0/0/2], [Indonesia Central A_gateway2, GigabitEthernet0/0/2]], [15.251.0.0/16])]
Indonesia Central A DC3 -> [([[Indonesia Central A_gateway1, GigabitEthernet0/0/3], [Indonesia Central A_gateway2, GigabitEthernet0/0/3]], [15.252.0.0/16])]
Indonesia Central A DC4 -> [([[Indonesia Central A_gateway1, GigabitEthernet0/0/4], [Indonesia Central A_gateway2, GigabitEthernet0/0/4]], [15.253.0.0/16])]
Indonesia Central A DC5 -> [([[Indonesia Central A_gateway1, GigabitEthernet0/0/5], [Indonesia Central A_gateway2, GigabitEthernet0/0/5]], [15.254.0.0/16])]
Indonesia Central B DC1 -> [([[Indonesia Central B_gateway1, GigabitEthernet0/0/1], [Indonesia Central B_gateway2, GigabitEthernet0/0/1]], [15.255.0.0/16])]
Indonesia Central B DC2 -> [([[Indonesia Central B_gateway1, GigabitEthernet0/0/2], [Indonesia Central B_gateway2, GigabitEthernet0/0/2]], [16.0.0.0/16])]
Indonesia Central B DC3 -> [([[Indonesia Central B_gateway1, GigabitEthernet0/0/3], [Indonesia Central B_gateway2, GigabitEthernet0/0/3]], [16.1.0.0/16])]
Indonesia Central B DC4 -> [([[Indonesia Central B_gateway1, GigabitEthernet0/0/4], [Indonesia Central B_gateway2, GigabitEthernet0/0/4]], [16.2.0.0/16])]
Indonesia Central B DC5 -> [([[Indonesia Central B_gateway1, GigabitEthernet0/0/5], [Indonesia Central B_gateway2, GigabitEthernet0/0/5]], [16.3.0.0/16])]
Indonesia Central C DC1 -> [([[Indonesia Central C_gateway1, GigabitEthernet0/0/1], [Indonesia Central C_gateway2, GigabitEthernet0/0/1]], [16.4.0.0/16])]
Indonesia Central C DC2 -> [([[Indonesia Central C_gateway1, GigabitEthernet0/0/2], [Indonesia Central C_gateway2, GigabitEthernet0/0/2]], [16.5.0.0/16])]
Indonesia Central C DC3 -> [([[Indonesia Central C_gateway1, GigabitEthernet0/0/3], [Indonesia Central C_gateway2, GigabitEthernet0/0/3]], [16.6.0.0/16])]
Indonesia Central C DC4 -> [([[Indonesia Central C_gateway1, GigabitEthernet0/0/4], [Indonesia Central C_gateway2, GigabitEthernet0/0/4]], [16.7.0.0/16])]
Indonesia Central C DC5 -> [([[Indonesia Central C_gateway1, GigabitEthernet0/0/5], [Indonesia Central C_gateway2, GigabitEthernet0/0/5]], [16.8.0.0/16])]
Indonesia Central D DC1 -> [([[Indonesia Central D_gateway1, GigabitEthernet0/0/1], [Indonesia Central D_gateway2, GigabitEthernet0/0/1]], [16.9.0.0/16])]
Indonesia Central D DC2 -> [([[Indonesia Central D_gateway1, GigabitEthernet0/0/2], [Indonesia Central D_gateway2, GigabitEthernet0/0/2]], [16.10.0.0/16])]
Indonesia Central D DC3 -> [([[Indonesia Central D_gateway1, GigabitEthernet0/0/3], [Indonesia Central D_gateway2, GigabitEthernet0/0/3]], [16.11.0.0/16])]
Indonesia Central D DC4 -> [([[Indonesia Central D_gateway1, GigabitEthernet0/0/4], [Indonesia Central D_gateway2, GigabitEthernet0/0/4]], [16.12.0.0/16])]
Indonesia Central D DC5 -> [([[Indonesia Central D_gateway1, GigabitEthernet0/0/5], [Indonesia Central D_gateway2, GigabitEthernet0/0/5]], [16.13.0.0/16])]
Indonesia Central E DC1 -> [([[Indonesia Central E_gateway1, GigabitEthernet0/0/1], [Indonesia Central E_gateway2, GigabitEthernet0/0/1]], [16.14.0.0/16])]
Indonesia Central E DC2 -> [([[Indonesia Central E_gateway1, GigabitEthernet0/0/2], [Indonesia Central E_gateway2, GigabitEthernet0/0/2]], [16.15.0.0/16])]
Indonesia Central E DC3 -> [([[Indonesia Central E_gateway1, GigabitEthernet0/0/3], [Indonesia Central E_gateway2, GigabitEthernet0/0/3]], [16.16.0.0/16])]
Indonesia Central E DC4 -> [([[Indonesia Central E_gateway1, GigabitEthernet0/0/4], [Indonesia Central E_gateway2, GigabitEthernet0/0/4]], [16.17.0.0/16])]
Indonesia Central E DC5 -> [([[Indonesia Central E_gateway1, GigabitEthernet0/0/5], [Indonesia Central E_gateway2, GigabitEthernet0/0/5]], [16.18.0.0/16])]
Indonesia Central F DC1 -> [([[Indonesia Central F_gateway1, GigabitEthernet0/0/1], [Indonesia Central F_gateway2, GigabitEthernet0/0/1]], [16.19.0.0/16])]
Indonesia Central F DC2 -> [([[Indonesia Central F_gateway1, GigabitEthernet0/0/2], [Indonesia Central F_gateway2, GigabitEthernet0/0/2]], [16.20.0.0/16])]
Indonesia Central F DC3 -> [([[Indonesia Central F_gateway1, GigabitEthernet0/0/3], [Indonesia Central F_gateway2, GigabitEthernet0/0/3]], [16.21.0.0/16])]
Indonesia Central F DC4 -> [([[Indonesia Central F_gateway1, GigabitEthernet0/0/4], [Indonesia Central F_gateway2, GigabitEthernet0/0/4]], [16.22.0.0/16])]
Indonesia Central F DC5 -> [([[Indonesia Central F_gateway1, GigabitEthernet0/0/5], [Indonesia Central F_gateway2, GigabitEthernet0/0/5]], [16.23.0.0/16])]
Taiwan North A DC1 -> [([[Taiwan North A_gateway1, GigabitEthernet0/0/1], [Taiwan North A_gateway2, GigabitEthernet0/0/1]], [16.24.0.0/16])]
Taiwan North A DC2 -> [([[Taiwan North A_gateway1, GigabitEthernet0/0/2], [Taiwan North A_gateway2, GigabitEthernet0/0/2]], [16.25.0.0/16])]
Taiwan North A DC3 -> [([[Taiwan North A_gateway1, GigabitEthernet0/0/3], [Taiwan North A_gateway2, GigabitEthernet0/0/3]], [16.26.0.0/16])]
Taiwan North A DC4 -> [([[Taiwan North A_gateway1, GigabitEthernet0/0/4], [Taiwan North A_gateway2, GigabitEthernet0/0/4]], [16.27.0.0/16])]
Taiwan North A DC5 -> [([[Taiwan North A_gateway1, GigabitEthernet0/0/5], [Taiwan North A_gateway2, GigabitEthernet0/0/5]], [16.28.0.0/16])]
Taiwan North B DC1 -> [([[Taiwan North B_gateway1, GigabitEthernet0/0/1], [Taiwan North B_gateway2, GigabitEthernet0/0/1]], [16.29.0.0/16])]
Taiwan North B DC2 -> [([[Taiwan North B_gateway1, GigabitEthernet0/0/2], [Taiwan North B_gateway2, GigabitEthernet0/0/2]], [16.30.0.0/16])]
Taiwan North B DC3 -> [([[Taiwan North B_gateway1, GigabitEthernet0/0/3], [Taiwan North B_gateway2, GigabitEthernet0/0/3]], [16.31.0.0/16])]
Taiwan North B DC4 -> [([[Taiwan North B_gateway1, GigabitEthernet0/0/4], [Taiwan North B_gateway2, GigabitEthernet0/0/4]], [16.32.0.0/16])]
Taiwan North B DC5 -> [([[Taiwan North B_gateway1, GigabitEthernet0/0/5], [Taiwan North B_gateway2, GigabitEthernet0/0/5]], [16.33.0.0/16])]
Taiwan North C DC1 -> [([[Taiwan North C_gateway1, GigabitEthernet0/0/1], [Taiwan North C_gateway2, GigabitEthernet0/0/1]], [16.34.0.0/16])]
Taiwan North C DC2 -> [([[Taiwan North C_gateway1, GigabitEthernet0/0/2], [Taiwan North C_gateway2, GigabitEthernet0/0/2]], [16.35.0.0/16])]
Taiwan North C DC3 -> [([[Taiwan North C_gateway1, GigabitEthernet0/0/3], [Taiwan North C_gateway2, GigabitEthernet0/0/3]], [16.36.0.0/16])]
Taiwan North C DC4 -> [([[Taiwan North C_gateway1, GigabitEthernet0/0/4], [Taiwan North C_gateway2, GigabitEthernet0/0/4]], [16.37.0.0/16])]
Taiwan North C DC5 -> [([[Taiwan North C_gateway1, GigabitEthernet0/0/5], [Taiwan North C_gateway2, GigabitEthernet0/0/5]], [16.38.0.0/16])]
Taiwan North D DC1 -> [([[Taiwan North D_gateway1, GigabitEthernet0/0/1], [Taiwan North D_gateway2, GigabitEthernet0/0/1]], [16.39.0.0/16])]
Taiwan North D DC2 -> [([[Taiwan North D_gateway1, GigabitEthernet0/0/2], [Taiwan North D_gateway2, GigabitEthernet0/0/2]], [16.40.0.0/16])]
Taiwan North D DC3 -> [([[Taiwan North D_gateway1, GigabitEthernet0/0/3], [Taiwan North D_gateway2, GigabitEthernet0/0/3]], [16.41.0.0/16])]
Taiwan North D DC4 -> [([[Taiwan North D_gateway1, GigabitEthernet0/0/4], [Taiwan North D_gateway2, GigabitEthernet0/0/4]], [16.42.0.0/16])]
Taiwan North D DC5 -> [([[Taiwan North D_gateway1, GigabitEthernet0/0/5], [Taiwan North D_gateway2, GigabitEthernet0/0/5]], [16.43.0.0/16])]
Taiwan North E DC1 -> [([[Taiwan North E_gateway1, GigabitEthernet0/0/1], [Taiwan North E_gateway2, GigabitEthernet0/0/1]], [16.44.0.0/16])]
Taiwan North E DC2 -> [([[Taiwan North E_gateway1, GigabitEthernet0/0/2], [Taiwan North E_gateway2, GigabitEthernet0/0/2]], [16.45.0.0/16])]
Taiwan North E DC3 -> [([[Taiwan North E_gateway1, GigabitEthernet0/0/3], [Taiwan North E_gateway2, GigabitEthernet0/0/3]], [16.46.0.0/16])]
Taiwan North E DC4 -> [([[Taiwan North E_gateway1, GigabitEthernet0/0/4], [Taiwan North E_gateway2, GigabitEthernet0/0/4]], [16.47.0.0/16])]
Taiwan North E DC5 -> [([[Taiwan North E_gateway1, GigabitEthernet0/0/5], [Taiwan North E_gateway2, GigabitEthernet0/0/5]], [16.48.0.0/16])]
Taiwan North F DC1 -> [([[Taiwan North F_gateway1, GigabitEthernet0/0/1], [Taiwan North F_gateway2, GigabitEthernet0/0/1]], [16.49.0.0/16])]
Taiwan North F DC2 -> [([[Taiwan North F_gateway1, GigabitEthernet0/0/2], [Taiwan North F_gateway2, GigabitEthernet0/0/2]], [16.50.0.0/16])]
Taiwan North F DC3 -> [([[Taiwan North F_gateway1, GigabitEthernet0/0/3], [Taiwan North F_gateway2, GigabitEthernet0/0/3]], [16.51.0.0/16])]
Taiwan North F DC4 -> [([[Taiwan North F_gateway1, GigabitEthernet0/0/4], [Taiwan North F_gateway2, GigabitEthernet0/0/4]], [16.52.0.0/16])]
Taiwan North F DC5 -> [([[Taiwan North F_gateway1, GigabitEthernet0/0/5], [Taiwan North F_gateway2, GigabitEthernet0/0/5]], [16.53.0.0/16])]
Australia Southeast A DC1 -> [([[Australia Southeast A_gateway1, GigabitEthernet0/0/1], [Australia Southeast A_gateway2, GigabitEthernet0/0/1]], [16.54.0.0/16])]
Australia Southeast A DC2 -> [([[Australia Southeast A_gateway1, GigabitEthernet0/0/2], [Australia Southeast A_gateway2, GigabitEthernet0/0/2]], [16.55.0.0/16])]
Australia Southeast A DC3 -> [([[Australia Southeast A_gateway1, GigabitEthernet0/0/3], [Australia Southeast A_gateway2, GigabitEthernet0/0/3]], [16.56.0.0/16])]
Australia Southeast A DC4 -> [([[Australia Southeast A_gateway1, GigabitEthernet0/0/4], [Australia Southeast A_gateway2, GigabitEthernet0/0/4]], [16.57.0.0/16])]
Australia Southeast A DC5 -> [([[Australia Southeast A_gateway1, GigabitEthernet0/0/5], [Australia Southeast A_gateway2, GigabitEthernet0/0/5]], [16.58.0.0/16])]
Australia Southeast B DC1 -> [([[Australia Southeast B_gateway1, GigabitEthernet0/0/1], [Australia Southeast B_gateway2, GigabitEthernet0/0/1]], [16.59.0.0/16])]
Australia Southeast B DC2 -> [([[Australia Southeast B_gateway1, GigabitEthernet0/0/2], [Australia Southeast B_gateway2, GigabitEthernet0/0/2]], [16.60.0.0/16])]
Australia Southeast B DC3 -> [([[Australia Southeast B_gateway1, GigabitEthernet0/0/3], [Australia Southeast B_gateway2, GigabitEthernet0/0/3]], [16.61.0.0/16])]
Australia Southeast B DC4 -> [([[Australia Southeast B_gateway1, GigabitEthernet0/0/4], [Australia Southeast B_gateway2, GigabitEthernet0/0/4]], [16.62.0.0/16])]
Australia Southeast B DC5 -> [([[Australia Southeast B_gateway1, GigabitEthernet0/0/5], [Australia Southeast B_gateway2, GigabitEthernet0/0/5]], [16.63.0.0/16])]
Australia Southeast C DC1 -> [([[Australia Southeast C_gateway1, GigabitEthernet0/0/1], [Australia Southeast C_gateway2, GigabitEthernet0/0/1]], [16.64.0.0/16])]
Australia Southeast C DC2 -> [([[Australia Southeast C_gateway1, GigabitEthernet0/0/2], [Australia Southeast C_gateway2, GigabitEthernet0/0/2]], [16.65.0.0/16])]
Australia Southeast C DC3 -> [([[Australia Southeast C_gateway1, GigabitEthernet0/0/3], [Australia Southeast C_gateway2, GigabitEthernet0/0/3]], [16.66.0.0/16])]
Australia Southeast C DC4 -> [([[Australia Southeast C_gateway1, GigabitEthernet0/0/4], [Australia Southeast C_gateway2, GigabitEthernet0/0/4]], [16.67.0.0/16])]
Australia Southeast C DC5 -> [([[Australia Southeast C_gateway1, GigabitEthernet0/0/5], [Australia Southeast C_gateway2, GigabitEthernet0/0/5]], [16.68.0.0/16])]
Australia Southeast D DC1 -> [([[Australia Southeast D_gateway1, GigabitEthernet0/0/1], [Australia Southeast D_gateway2, GigabitEthernet0/0/1]], [16.69.0.0/16])]
Australia Southeast D DC2 -> [([[Australia Southeast D_gateway1, GigabitEthernet0/0/2], [Australia Southeast D_gateway2, GigabitEthernet0/0/2]], [16.70.0.0/16])]
Australia Southeast D DC3 -> [([[Australia Southeast D_gateway1, GigabitEthernet0/0/3], [Australia Southeast D_gateway2, GigabitEthernet0/0/3]], [16.71.0.0/16])]
Australia Southeast D DC4 -> [([[Australia Southeast D_gateway1, GigabitEthernet0/0/4], [Australia Southeast D_gateway2, GigabitEthernet0/0/4]], [16.72.0.0/16])]
Australia Southeast D DC5 -> [([[Australia Southeast D_gateway1, GigabitEthernet0/0/5], [Australia Southeast D_gateway2, GigabitEthernet0/0/5]], [16.73.0.0/16])]
Australia Southeast E DC1 -> [([[Australia Southeast E_gateway1, GigabitEthernet0/0/1], [Australia Southeast E_gateway2, GigabitEthernet0/0/1]], [16.74.0.0/16])]
Australia Southeast E DC2 -> [([[Australia Southeast E_gateway1, GigabitEthernet0/0/2], [Australia Southeast E_gateway2, GigabitEthernet0/0/2]], [16.75.0.0/16])]
Australia Southeast E DC3 -> [([[Australia Southeast E_gateway1, GigabitEthernet0/0/3], [Australia Southeast E_gateway2, GigabitEthernet0/0/3]], [16.76.0.0/16])]
Australia Southeast E DC4 -> [([[Australia Southeast E_gateway1, GigabitEthernet0/0/4], [Australia Southeast E_gateway2, GigabitEthernet0/0/4]], [16.77.0.0/16])]
Australia Southeast E DC5 -> [([[Australia Southeast E_gateway1, GigabitEthernet0/0/5], [Australia Southeast E_gateway2, GigabitEthernet0/0/5]], [16.78.0.0/16])]
Australia Southeast F DC1 -> [([[Australia Southeast F_gateway1, GigabitEthernet0/0/1], [Australia Southeast F_gateway2, GigabitEthernet0/0/1]], [16.79.0.0/16])]
Australia Southeast F DC2 -> [([[Australia Southeast F_gateway1, GigabitEthernet0/0/2], [Australia Southeast F_gateway2, GigabitEthernet0/0/2]], [16.80.0.0/16])]
Australia Southeast F DC3 -> [([[Australia Southeast F_gateway1, GigabitEthernet0/0/3], [Australia Southeast F_gateway2, GigabitEthernet0/0/3]], [16.81.0.0/16])]
Australia Southeast F DC4 -> [([[Australia Southeast F_gateway1, GigabitEthernet0/0/4], [Australia Southeast F_gateway2, GigabitEthernet0/0/4]], [16.82.0.0/16])]
Australia Southeast F DC5 -> [([[Australia Southeast F_gateway1, GigabitEthernet0/0/5], [Australia Southeast F_gateway2, GigabitEthernet0/0/5]], [16.83.0.0/16])]
Australia East A DC1 -> [([[Australia East A_gateway1, GigabitEthernet0/0/1], [Australia East A_gateway2, GigabitEthernet0/0/1]], [16.84.0.0/16])]
Australia East A DC2 -> [([[Australia East A_gateway1, GigabitEthernet0/0/2], [Australia East A_gateway2, GigabitEthernet0/0/2]], [16.85.0.0/16])]
Australia East A DC3 -> [([[Australia East A_gateway1, GigabitEthernet0/0/3], [Australia East A_gateway2, GigabitEthernet0/0/3]], [16.86.0.0/16])]
Australia East A DC4 -> [([[Australia East A_gateway1, GigabitEthernet0/0/4], [Australia East A_gateway2, GigabitEthernet0/0/4]], [16.87.0.0/16])]
Australia East A DC5 -> [([[Australia East A_gateway1, GigabitEthernet0/0/5], [Australia East A_gateway2, GigabitEthernet0/0/5]], [16.88.0.0/16])]
Australia East B DC1 -> [([[Australia East B_gateway1, GigabitEthernet0/0/1], [Australia East B_gateway2, GigabitEthernet0/0/1]], [16.89.0.0/16])]
Australia East B DC2 -> [([[Australia East B_gateway1, GigabitEthernet0/0/2], [Australia East B_gateway2, GigabitEthernet0/0/2]], [16.90.0.0/16])]
Australia East B DC3 -> [([[Australia East B_gateway1, GigabitEthernet0/0/3], [Australia East B_gateway2, GigabitEthernet0/0/3]], [16.91.0.0/16])]
Australia East B DC4 -> [([[Australia East B_gateway1, GigabitEthernet0/0/4], [Australia East B_gateway2, GigabitEthernet0/0/4]], [16.92.0.0/16])]
Australia East B DC5 -> [([[Australia East B_gateway1, GigabitEthernet0/0/5], [Australia East B_gateway2, GigabitEthernet0/0/5]], [16.93.0.0/16])]
Australia East C DC1 -> [([[Australia East C_gateway1, GigabitEthernet0/0/1], [Australia East C_gateway2, GigabitEthernet0/0/1]], [16.94.0.0/16])]
Australia East C DC2 -> [([[Australia East C_gateway1, GigabitEthernet0/0/2], [Australia East C_gateway2, GigabitEthernet0/0/2]], [16.95.0.0/16])]
Australia East C DC3 -> [([[Australia East C_gateway1, GigabitEthernet0/0/3], [Australia East C_gateway2, GigabitEthernet0/0/3]], [16.96.0.0/16])]
Australia East C DC4 -> [([[Australia East C_gateway1, GigabitEthernet0/0/4], [Australia East C_gateway2, GigabitEthernet0/0/4]], [16.97.0.0/16])]
Australia East C DC5 -> [([[Australia East C_gateway1, GigabitEthernet0/0/5], [Australia East C_gateway2, GigabitEthernet0/0/5]], [16.98.0.0/16])]
Australia East D DC1 -> [([[Australia East D_gateway1, GigabitEthernet0/0/1], [Australia East D_gateway2, GigabitEthernet0/0/1]], [16.99.0.0/16])]
Australia East D DC2 -> [([[Australia East D_gateway1, GigabitEthernet0/0/2], [Australia East D_gateway2, GigabitEthernet0/0/2]], [16.100.0.0/16])]
Australia East D DC3 -> [([[Australia East D_gateway1, GigabitEthernet0/0/3], [Australia East D_gateway2, GigabitEthernet0/0/3]], [16.101.0.0/16])]
Australia East D DC4 -> [([[Australia East D_gateway1, GigabitEthernet0/0/4], [Australia East D_gateway2, GigabitEthernet0/0/4]], [16.102.0.0/16])]
Australia East D DC5 -> [([[Australia East D_gateway1, GigabitEthernet0/0/5], [Australia East D_gateway2, GigabitEthernet0/0/5]], [16.103.0.0/16])]
Australia East E DC1 -> [([[Australia East E_gateway1, GigabitEthernet0/0/1], [Australia East E_gateway2, GigabitEthernet0/0/1]], [16.104.0.0/16])]
Australia East E DC2 -> [([[Australia East E_gateway1, GigabitEthernet0/0/2], [Australia East E_gateway2, GigabitEthernet0/0/2]], [16.105.0.0/16])]
Australia East E DC3 -> [([[Australia East E_gateway1, GigabitEthernet0/0/3], [Australia East E_gateway2, GigabitEthernet0/0/3]], [16.106.0.0/16])]
Australia East E DC4 -> [([[Australia East E_gateway1, GigabitEthernet0/0/4], [Australia East E_gateway2, GigabitEthernet0/0/4]], [16.107.0.0/16])]
Australia East E DC5 -> [([[Australia East E_gateway1, GigabitEthernet0/0/5], [Australia East E_gateway2, GigabitEthernet0/0/5]], [16.108.0.0/16])]
Australia East F DC1 -> [([[Australia East F_gateway1, GigabitEthernet0/0/1], [Australia East F_gateway2, GigabitEthernet0/0/1]], [16.109.0.0/16])]
Australia East F DC2 -> [([[Australia East F_gateway1, GigabitEthernet0/0/2], [Australia East F_gateway2, GigabitEthernet0/0/2]], [16.110.0.0/16])]
Australia East F DC3 -> [([[Australia East F_gateway1, GigabitEthernet0/0/3], [Australia East F_gateway2, GigabitEthernet0/0/3]], [16.111.0.0/16])]
Australia East F DC4 -> [([[Australia East F_gateway1, GigabitEthernet0/0/4], [Australia East F_gateway2, GigabitEthernet0/0/4]], [16.112.0.0/16])]
Australia East F DC5 -> [([[Australia East F_gateway1, GigabitEthernet0/0/5], [Australia East F_gateway2, GigabitEthernet0/0/5]], [16.113.0.0/16])]
Australia Central A DC1 -> [([[Australia Central A_gateway1, GigabitEthernet0/0/1], [Australia Central A_gateway2, GigabitEthernet0/0/1]], [16.114.0.0/16])]
Australia Central A DC2 -> [([[Australia Central A_gateway1, GigabitEthernet0/0/2], [Australia Central A_gateway2, GigabitEthernet0/0/2]], [16.115.0.0/16])]
Australia Central A DC3 -> [([[Australia Central A_gateway1, GigabitEthernet0/0/3], [Australia Central A_gateway2, GigabitEthernet0/0/3]], [16.116.0.0/16])]
Australia Central A DC4 -> [([[Australia Central A_gateway1, GigabitEthernet0/0/4], [Australia Central A_gateway2, GigabitEthernet0/0/4]], [16.117.0.0/16])]
Australia Central A DC5 -> [([[Australia Central A_gateway1, GigabitEthernet0/0/5], [Australia Central A_gateway2, GigabitEthernet0/0/5]], [16.118.0.0/16])]
Australia Central B DC1 -> [([[Australia Central B_gateway1, GigabitEthernet0/0/1], [Australia Central B_gateway2, GigabitEthernet0/0/1]], [16.119.0.0/16])]
Australia Central B DC2 -> [([[Australia Central B_gateway1, GigabitEthernet0/0/2], [Australia Central B_gateway2, GigabitEthernet0/0/2]], [16.120.0.0/16])]
Australia Central B DC3 -> [([[Australia Central B_gateway1, GigabitEthernet0/0/3], [Australia Central B_gateway2, GigabitEthernet0/0/3]], [16.121.0.0/16])]
Australia Central B DC4 -> [([[Australia Central B_gateway1, GigabitEthernet0/0/4], [Australia Central B_gateway2, GigabitEthernet0/0/4]], [16.122.0.0/16])]
Australia Central B DC5 -> [([[Australia Central B_gateway1, GigabitEthernet0/0/5], [Australia Central B_gateway2, GigabitEthernet0/0/5]], [16.123.0.0/16])]
Australia Central C DC1 -> [([[Australia Central C_gateway1, GigabitEthernet0/0/1], [Australia Central C_gateway2, GigabitEthernet0/0/1]], [16.124.0.0/16])]
Australia Central C DC2 -> [([[Australia Central C_gateway1, GigabitEthernet0/0/2], [Australia Central C_gateway2, GigabitEthernet0/0/2]], [16.125.0.0/16])]
Australia Central C DC3 -> [([[Australia Central C_gateway1, GigabitEthernet0/0/3], [Australia Central C_gateway2, GigabitEthernet0/0/3]], [16.126.0.0/16])]
Australia Central C DC4 -> [([[Australia Central C_gateway1, GigabitEthernet0/0/4], [Australia Central C_gateway2, GigabitEthernet0/0/4]], [16.127.0.0/16])]
Australia Central C DC5 -> [([[Australia Central C_gateway1, GigabitEthernet0/0/5], [Australia Central C_gateway2, GigabitEthernet0/0/5]], [16.128.0.0/16])]
Australia Central D DC1 -> [([[Australia Central D_gateway1, GigabitEthernet0/0/1], [Australia Central D_gateway2, GigabitEthernet0/0/1]], [16.129.0.0/16])]
Australia Central D DC2 -> [([[Australia Central D_gateway1, GigabitEthernet0/0/2], [Australia Central D_gateway2, GigabitEthernet0/0/2]], [16.130.0.0/16])]
Australia Central D DC3 -> [([[Australia Central D_gateway1, GigabitEthernet0/0/3], [Australia Central D_gateway2, GigabitEthernet0/0/3]], [16.131.0.0/16])]
Australia Central D DC4 -> [([[Australia Central D_gateway1, GigabitEthernet0/0/4], [Australia Central D_gateway2, GigabitEthernet0/0/4]], [16.132.0.0/16])]
Australia Central D DC5 -> [([[Australia Central D_gateway1, GigabitEthernet0/0/5], [Australia Central D_gateway2, GigabitEthernet0/0/5]], [16.133.0.0/16])]
Australia Central E DC1 -> [([[Australia Central E_gateway1, GigabitEthernet0/0/1], [Australia Central E_gateway2, GigabitEthernet0/0/1]], [16.134.0.0/16])]
Australia Central E DC2 -> [([[Australia Central E_gateway1, GigabitEthernet0/0/2], [Australia Central E_gateway2, GigabitEthernet0/0/2]], [16.135.0.0/16])]
Australia Central E DC3 -> [([[Australia Central E_gateway1, GigabitEthernet0/0/3], [Australia Central E_gateway2, GigabitEthernet0/0/3]], [16.136.0.0/16])]
Australia Central E DC4 -> [([[Australia Central E_gateway1, GigabitEthernet0/0/4], [Australia Central E_gateway2, GigabitEthernet0/0/4]], [16.137.0.0/16])]
Australia Central E DC5 -> [([[Australia Central E_gateway1, GigabitEthernet0/0/5], [Australia Central E_gateway2, GigabitEthernet0/0/5]], [16.138.0.0/16])]
